Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Igor Ozhiganov,630,26,TOR,D,53,3,4,7,0,14,1.2,3,0,0,0,4,0,0,43,7.0,743,14:01,48,57,0,0,,0.1320754716981132,0.6309523809523809,0.08333333333333333,Toronto Maple Leafs
Steven Kampfer,418,30,BOS,D,35,3,3,6,-6,22,0.9,2,1,0,0,2,1,0,40,7.5,512,14:38,32,44,0,0,,0.17142857142857143,0.4166666666666667,0.07142857142857144,Boston Bruins
Dmitry Kulikov,462,28,WPG,D,57,0,6,6,4,47,1.4,0,0,0,0,6,0,0,40,0.0,893,15:40,71,88,0,0,,0.10526315789473684,0.6785714285714286,0.07142857142857142,Winnipeg Jets
Ryan Graves,313,23,COL,D,26,3,2,5,4,2,1.3,3,0,0,0,2,0,0,26,11.5,289,11:06,51,32,0,0,,0.19230769230769232,0.30952380952380953,0.05952380952380953,Colorado Avalanche
Dean Kukan,460,25,CBJ,D,25,0,5,5,6,6,1.3,0,0,0,0,5,0,0,16,0.0,337,13:28,21,16,0,0,,0.2,0.2976190476190476,0.05952380952380953,Columbus Blue Jackets
Juuso Riikola,703,25,PIT,D,37,2,3,5,3,10,1.2,0,2,0,1,3,0,0,43,4.7,617,16:41,38,86,0,0,,0.13513513513513514,0.44047619047619047,0.05952380952380953,Pittsburgh Penguins
Martin Marincin,536,26,TOR,D,24,1,4,5,-4,12,0.4,1,0,0,0,4,0,0,34,2.9,365,15:12,21,21,0,1,0.0,0.20833333333333334,0.2857142857142857,0.05952380952380952,Toronto Maple Leafs
Dan Hamhuis,336,36,NSH,D,57,0,5,5,-2,28,1.2,0,0,0,0,5,0,0,39,0.0,915,16:03,61,38,0,0,,0.08771929824561403,0.6785714285714286,0.05952380952380952,Nashville Predators
Gavin Bayreuther,42,24,DAL,D,19,2,3,5,2,10,1.4,2,0,0,0,1,2,0,25,8.0,346,18:11,19,11,0,0,,0.2631578947368421,0.2261904761904762,0.05952380952380952,Dallas Stars
Michael Stone,807,28,CGY,D,14,0,5,5,0,10,0.6,0,0,0,0,5,0,0,12,0.0,223,15:56,16,27,0,0,,0.35714285714285715,0.16666666666666666,0.05952380952380952,Calgary Flames
Jonas Siegenthaler,767,21,WSH,D,26,0,4,4,6,10,1.0,0,0,0,0,4,0,0,12,0.0,368,14:09,44,31,0,0,,0.15384615384615385,0.30952380952380953,0.04761904761904762,Washington Capitals
Julius Honka,372,23,DAL,D,29,0,4,4,-2,10,0.9,0,0,0,0,4,0,0,38,0.0,398,13:43,31,16,0,1,0.0,0.13793103448275862,0.34523809523809523,0.047619047619047616,Dallas Stars
Sami Niku,604,22,WPG,D,30,1,3,4,0,2,0.7,1,0,0,0,3,0,0,19,5.3,418,13:55,30,10,0,0,,0.13333333333333333,0.35714285714285715,0.047619047619047616,Winnipeg Jets
Thomas Hickey,361,29,NYI,D,40,0,4,4,5,33,1.6,0,0,0,0,3,0,1,47,0.0,740,18:30,71,40,0,0,,0.1,0.47619047619047616,0.047619047619047616,New York Islanders
Juuso Valimaki,853,20,CGY,D,24,1,2,3,-2,12,0.4,1,0,0,1,2,0,0,28,3.6,372,15:29,43,21,0,0,,0.125,0.2857142857142857,0.03571428571428571,Calgary Flames
Chris Butler,108,32,STL,D,13,1,1,2,3,0,0.7,1,0,0,0,1,0,0,10,10.0,183,14:02,17,17,0,0,,0.15384615384615385,0.15476190476190477,0.02380952380952381,St. Louis Blues
Tyler Lewington,497,24,WSH,D,2,1,1,2,3,7,0.5,1,0,0,0,1,0,0,3,33.3,28,13:48,1,4,0,0,,1.0,0.023809523809523808,0.023809523809523808,Washington Capitals
Dalton Prout,675,28,CGY,D,20,1,1,2,1,8,0.5,1,0,0,0,1,0,0,14,7.1,262,13:07,20,36,0,0,,0.1,0.23809523809523808,0.023809523809523808,Calgary Flames
Jordan Schmaltz,745,25,STL,D,20,0,2,2,-7,2,-0.1,0,0,0,0,2,0,0,11,0.0,230,11:29,22,10,0,0,,0.1,0.23809523809523808,0.023809523809523808,St. Louis Blues
Chad Ruhwedel,719,28,PIT,D,18,1,1,2,-9,4,-0.3,1,0,0,1,1,0,0,22,4.5,293,16:17,16,40,0,0,,0.1111111111111111,0.21428571428571427,0.023809523809523808,Pittsburgh Penguins
Justin Holl,370,27,TOR,D,11,0,1,1,-5,2,-0.2,0,0,0,0,1,0,0,6,0.0,137,12:29,5,9,0,0,,0.09090909090909091,0.13095238095238096,0.011904761904761906,Toronto Maple Leafs
Zach Trotman,847,28,PIT,D,13,0,1,1,4,4,0.5,0,0,0,0,0,1,0,16,0.0,198,15:16,18,20,0,0,,0.07692307692307693,0.15476190476190477,0.011904761904761906,Pittsburgh Penguins
Cameron Schilling,743,30,WPG,D,4,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,48,12:06,5,3,0,0,,0.25,0.047619047619047616,0.011904761904761904,Winnipeg Jets
Calle Rosen,712,24,TOR,D,4,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,5,20.0,67,16:42,2,1,0,0,,0.25,0.047619047619047616,0.011904761904761904,Toronto Maple Leafs
Mark Barberio,35,28,COL,D,12,1,0,1,-6,4,-0.1,1,0,0,0,0,0,0,11,9.1,183,15:14,14,13,0,0,,0.08333333333333333,0.14285714285714285,0.011904761904761904,Colorado Avalanche
Luca Sbisa,735,29,NYI,D,9,0,1,1,0,4,0.3,0,0,0,0,1,0,0,5,0.0,139,15:28,7,17,0,0,,0.1111111111111111,0.10714285714285714,0.011904761904761904,New York Islanders
Ben Gleason,299,20,DAL,D,4,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,2,0.0,60,14:53,1,2,0,0,,0.25,0.047619047619047616,0.011904761904761904,Dallas Stars
Jacob Middleton,571,23,SJS,D,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,0,,30,9:56,2,1,0,0,,0.3333333333333333,0.03571428571428571,0.011904761904761904,San Jose Sharks
Jeremy Lauzon,485,21,BOS,D,16,1,0,1,-1,2,0.4,1,0,0,1,0,0,0,11,9.1,249,15:32,15,15,0,0,,0.0625,0.19047619047619047,0.011904761904761904,Boston Bruins
Connor Clifton,146,23,BOS,D,19,0,1,1,5,15,0.8,0,0,0,0,1,0,0,22,0.0,336,17:42,13,40,0,0,,0.05263157894736842,0.2261904761904762,0.011904761904761904,Boston Bruins
Dante Fabbro,242,20,NSH,D,4,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,5,20.0,51,12:44,6,3,0,0,,0.25,0.047619047619047616,0.011904761904761904,Nashville Predators
Dillon Heatherington,351,23,DAL,D,5,0,1,1,4,0,0.5,0,0,0,0,1,0,0,5,0.0,51,10:11,2,6,0,0,,0.2,0.05952380952380952,0.011904761904761904,Dallas Stars
Haydn Fleury,254,22,CAR,D,20,0,1,1,4,2,0.7,0,0,0,0,1,0,0,17,0.0,251,12:32,21,25,0,0,,0.05,0.23809523809523808,0.011904761904761904,Carolina Hurricanes
Jimmy Schuldt,748,23,VEG,D,1,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,21,21:03,1,0,0,0,,1.0,0.011904761904761904,0.011904761904761904,Vegas Golden Knights
Matt Donovan,200,28,NSH,D,2,0,1,1,0,2,0.1,0,0,0,0,1,0,0,1,0.0,15,7:24,3,0,0,0,,0.5,0.023809523809523808,0.011904761904761904,Nashville Predators
Urho Vaakanainen,852,20,BOS,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,18,9:06,0,0,0,0,,0.0,0.023809523809523808,0.0,Boston Bruins
Anton Lindholm,503,24,COL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,7:11,1,1,0,0,,0.0,0.023809523809523808,0.0,Colorado Avalanche
Jakub Jerabek,396,27,STL,D,1,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,1,0.0,8,7:52,1,0,0,0,,0.0,0.011904761904761904,0.0,St. Louis Blues
Nelson Nogier,608,22,WPG,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,10,10:06,1,0,0,0,,0.0,0.011904761904761904,0.0,Winnipeg Jets
Jakub Zboril,902,21,BOS,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,22,10:56,0,3,0,0,,0.0,0.023809523809523808,0.0,Boston Bruins
Jake Bean,44,20,CAR,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,17,8:28,0,1,0,0,,0.0,0.023809523809523808,0.0,Carolina Hurricanes
Marc Methot,570,33,DAL,D,9,0,0,0,-3,6,0.0,0,0,0,0,0,0,0,3,0.0,152,16:56,10,15,0,0,,0.0,0.10714285714285714,0.0,Dallas Stars
Gabriel Carlsson,118,22,CBJ,D,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,9,9:21,0,0,0,0,,0.0,0.011904761904761904,0.0,Columbus Blue Jackets
Trevor Carrick,123,24,CAR,D,1,0,0,0,-1,5,-0.1,0,0,0,0,0,0,0,0,,11,11:29,1,1,0,0,,0.0,0.011904761904761904,0.0,Carolina Hurricanes
Cameron Gaunce,285,28,TBL,D,2,0,0,0,3,7,0.2,0,0,0,0,0,0,0,2,0.0,31,15:40,1,4,0,0,,0.0,0.023809523809523808,0.0,Tampa Bay Lightning
Mark Alt,8,27,COL,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,20,9:55,2,0,0,0,,0.0,0.023809523809523808,0.0,Colorado Avalanche
Joel Hanley,340,27,DAL,D,16,0,0,0,0,2,0.4,0,0,0,0,0,0,0,9,0.0,219,13:42,16,16,0,0,,0.0,0.19047619047619047,0.0,Dallas Stars
Adam Clendening,144,26,CBJ,D,4,0,0,0,1,0,0.1,0,0,0,0,0,0,0,3,0.0,43,10:39,3,1,0,0,,0.0,0.047619047619047616,0.0,Columbus Blue Jackets
