Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Nic Dowd,204,28,WSH,C,64,8,14,22,10,20,2.1,8,0,0,3,13,0,1,47,17.0,659,10:18,37,97,245,227,51.9,0.34375,0.7619047619047619,0.26190476190476186,Washington Capitals
Roope Hintz,363,22,DAL,LW,58,9,13,22,-11,24,1.6,6,3,0,3,10,3,0,99,9.1,815,14:03,36,87,217,183,54.3,0.3793103448275862,0.6904761904761905,0.26190476190476186,Dallas Stars
Sean Kuraly,466,26,BOS,C,71,8,13,21,6,38,1.6,8,0,0,3,13,0,0,134,6.0,978,13:46,35,129,285,245,53.8,0.29577464788732394,0.8452380952380952,0.25,Boston Bruins
Matt Cullen,168,42,PIT,C,71,7,13,20,6,14,1.5,5,0,2,2,11,0,2,87,8.0,817,11:31,31,32,320,320,50.0,0.28169014084507044,0.8452380952380952,0.2380952380952381,Pittsburgh Penguins
Travis Boyd,82,25,WSH,C,53,5,15,20,6,6,1.7,5,0,0,1,13,2,0,35,14.3,521,9:50,21,13,76,134,36.2,0.37735849056603776,0.6309523809523809,0.2380952380952381,Washington Capitals
Adam Erne,240,23,TBL,LW,65,7,13,20,10,40,1.7,5,2,0,3,13,0,0,70,10.0,686,10:33,26,159,11,12,47.8,0.3076923076923077,0.7738095238095238,0.2380952380952381,Tampa Bay Lightning
Ryan Reaves,695,32,VEG,RW,80,9,11,20,1,74,1.6,6,3,0,2,11,0,0,95,9.5,870,10:52,24,305,40,54,42.6,0.25,0.9523809523809523,0.23809523809523808,Vegas Golden Knights
David Backes,27,34,BOS,C,70,7,13,20,0,31,1.3,5,2,0,1,8,5,0,129,5.4,913,13:02,30,140,176,133,57.0,0.2857142857142857,0.8333333333333334,0.23809523809523808,Boston Bruins
Zach Sanford,730,24,STL,LW,60,8,12,20,8,21,2.0,8,0,0,2,11,1,0,77,10.4,755,12:35,37,48,8,5,61.5,0.3333333333333333,0.7142857142857143,0.23809523809523808,St. Louis Blues
Garnet Hathaway,346,27,CGY,RW,76,11,8,19,14,56,2.0,9,0,2,5,8,0,0,77,14.3,800,10:32,36,200,7,8,46.7,0.25,0.9047619047619048,0.2261904761904762,Calgary Flames
Chris Wagner,869,27,BOS,C,76,12,7,19,3,51,1.6,12,0,0,1,7,0,0,135,8.9,1022,13:27,38,247,54,66,45.0,0.25,0.9047619047619048,0.2261904761904762,Boston Bruins
James Neal,594,31,CGY,LW,63,7,12,19,-5,28,0.6,5,2,0,1,8,4,0,141,5.0,942,14:57,19,46,5,6,45.5,0.30158730158730157,0.75,0.22619047619047616,Calgary Flames
Austin Czarnik,170,26,CGY,C,54,6,12,18,-1,8,1.2,6,0,0,3,9,3,0,65,9.2,612,11:20,24,10,30,34,46.9,0.3333333333333333,0.6428571428571429,0.2142857142857143,Calgary Flames
Brandon Pirri,665,27,VEG,C,31,12,6,18,7,6,2.6,9,3,0,3,5,1,0,82,14.6,448,14:27,13,29,15,19,44.1,0.5806451612903226,0.36904761904761907,0.2142857142857143,Vegas Golden Knights
Ryan Carpenter,119,28,VEG,C,68,5,13,18,-6,8,0.7,4,0,1,0,12,0,1,102,4.9,858,12:37,17,126,161,145,52.6,0.2647058823529412,0.8095238095238095,0.2142857142857143,Vegas Golden Knights
Tyler Ennis,236,29,TOR,C,51,12,6,18,-6,2,1.8,10,2,0,1,3,3,0,81,14.8,507,9:56,14,49,1,0,100.0,0.35294117647058826,0.6071428571428571,0.21428571428571427,Toronto Maple Leafs
Blake Comeau,152,32,DAL,RW,77,7,11,18,-7,42,0.6,7,0,0,2,11,0,0,102,6.9,1211,15:44,40,208,25,32,43.9,0.23376623376623376,0.9166666666666666,0.21428571428571427,Dallas Stars
Tomas Nosek,611,26,VEG,C,68,8,9,17,-10,18,0.8,7,0,1,1,9,0,0,116,6.9,848,12:28,23,75,82,50,62.1,0.25,0.8095238095238095,0.20238095238095238,Vegas Golden Knights
Ryan Callahan,112,33,TBL,RW,52,7,10,17,7,14,1.5,6,1,0,3,9,0,1,76,9.2,579,11:08,25,89,6,15,28.6,0.3269230769230769,0.6190476190476191,0.20238095238095238,Tampa Bay Lightning
Sven Andrighetto,16,25,COL,RW,64,7,10,17,10,14,1.6,7,0,0,1,10,0,0,95,7.4,708,11:04,32,29,3,8,27.3,0.265625,0.7619047619047619,0.20238095238095238,Colorado Avalanche
Zach Aston-Reese,23,24,PIT,C,43,8,9,17,12,26,1.9,7,0,1,1,9,0,0,76,10.5,587,13:39,37,138,8,10,44.4,0.3953488372093023,0.5119047619047619,0.20238095238095236,Pittsburgh Penguins
Cedric Paquette,638,25,TBL,C,80,13,4,17,7,80,1.4,11,0,2,1,4,0,0,87,14.9,960,12:00,61,269,404,364,52.6,0.2125,0.9523809523809523,0.20238095238095236,Tampa Bay Lightning
Austin Watson,873,27,NSH,LW,37,7,9,16,11,39,1.9,6,1,0,1,9,0,0,64,10.9,536,14:30,28,109,7,9,43.8,0.43243243243243246,0.44047619047619047,0.1904761904761905,Nashville Predators
Barclay Goodrow,304,25,SJS,RW,82,7,9,16,4,76,0.8,6,0,1,3,9,0,0,84,8.3,903,11:01,68,125,296,255,53.7,0.1951219512195122,0.9761904761904762,0.19047619047619047,San Jose Sharks
Melker Karlsson,423,28,SJS,C,79,12,4,16,-1,26,1.1,12,0,0,2,4,0,0,79,15.2,908,11:30,39,67,14,12,53.8,0.20253164556962025,0.9404761904761905,0.19047619047619047,San Jose Sharks
